"client_code","department_code","department_name"
"SKPI-AF","PAYABLES STF","PAYABLES"
"SLPI-AF","PAYABLE STF","PAYABLES"
"SKPI-AF","PAYROLL","ACCOUNTING AND FINANCE"
"SKPI-AC","TREASURY","TREASURY"
"SKPI-AC","EXECOFFICE","EXECUTIVE OFFICE"
"SLPI-AC","PAYROLL","PAYROLL"
"SLPI-AC","TIMEKEEPING","TIMEKEEPING"
"SLPI-AC","TREASURY","TREASURY"
"SLPI-AC","EXCOFFICE","EXECUTIVE OFFICE"
"SKPI-CP","CP-PANTRY","CATERING PRODUCTION"
"SKPI-CA","CPA","CATERING PRODUCTION-SERVICE AGREEMENT"
"SKPI-FM","FMD-GEMS","GEMS-FACILITIES AND MAINTENANCE"
"SKPI-CP","CP-ADMIN","CATERING PRODUCTION"
"SKPI-AC","PAYROLL","ACCOUNTING AND FINANCE"
"SKPI-CF","CFS - 1ST SHIFT","CATERING FIELD SERVICING"
"SLPI-TR","TRAINING","TRAINING"
"SLPI-PW","SLPI-PWHEAD","SLPI-PURCHASING HEAD"
"SLPI-A1","PAYABLES","PAYABLES"
"SLPI-A1","COMP","COMPLIANCE"
"SLPI-A1","ACCTNG","ACCOUNTING"
"SKPI-CP","CP-PPC","CATERING PRODUCTION"
"SKPI-CP","CP-MARSHALL AM","CATERING PRODUCTION"
"SKPI-CP","CP-MARSHALL PM","CATERING PRODUCTION"
"SKPI-CP","CP-MP PM","CATERING PRODUCTION"
"SKPI-CP","CP-COLD AM","CATERING PRODUCTION"
"SKPI-CP","CP-COLD PM","CATERING PRODUCTION"
"SKPI-CP","CP-FSU AM","CATERING PRODUCTION"
"SKPI-CP","CP-FSU PM","CATERING PRODUCTION"
"SKPI-CP","CP-HALAL AM","CATERING PRODUCTION"
"SKPI-CP","CP-PASTRY","CATERING PRODUCTION"
"SKPI-CP","CP-SOUS CHEF","CATERING PRODUCTION"
"SKPI-CP","CP-SPML","CATERING PRODUCTION"
"SKPI-CP","CP-BUTCHER","CATERING PRODUCTION"
"SLPI-SA","CEB GEM","CEBU GEM"
"SLPI-SA","MNL SS","MANILA SAFETY AND SECURITY"
"SLPI-SA","MANILA RMP","MANILA RAMP"
"SLPI-SA","MANILA CBS","MANILA CBS"
"SLPI-SA","CEB PSD","CEBU PSD"
"SKPI-CA","CCS","CATERING SUPPORT-SERVICE AGREEMENT"
"SKPI-FM","FMD-MECHANICAL","FACILITIES AND MAINTENANCE"
"SKPI-CF","CFS - 2ND SHIFT","CATERING FIELD SERVICING"
"MNL-SC","MANILA STATION","MANILA STATION CONTROL"
"SLPI-AF","BILLING STF","BILLING"
