"shift_code","description","work_hours","break_hours","in1","out1","in2","out2"
"R21","10:00AM-06:00PM","8","0.5","10:00:00","14:30:00","15:00:00","18:00:00"
"FX2","FLEXI W/O NIGHT PREMIUM","8","0","","","",""
"R42","08:30PM-04:30AM","8","0.5","20:30:00","01:00:00","01:30:00","04:30:00"
"R48","11:30PM-07:300AM","8","0.5","23:30:00","04:00:00","04:30:00","07:30:00"
"R47","11:00PM-07:00AM","8","0.5","23:00:00","03:30:00","04:00:00","07:00:00"
"R41","08:00PM-04:00AM","8","0.5","20:00:00","00:30:00","01:00:00","04:00:00"
"R46","10:30PM-06:30AM","8","0.5","22:30:00","03:00:00","03:30:00","06:30:00"
"R22","10:30AM-06:30PM","8","0.5","10:30:00","15:00:00","15:30:00","18:30:00"
"R23","11:00AM-07:00PM","8","0.5","11:00:00","15:30:00","16:00:00","19:00:00"
"R45","10:00PM-06:00AM","8","0.5","22:00:00","02:30:00","03:00:00","06:00:00"
"R24","11:30AM-07:30PM","8","0.5","11:30:00","16:00:00","16:30:00","19:30:00"
"M44","09:30PM-007:00AM","9","0.5","21:30:59","02:00:00","02:30:00","07:00:59"
"M17","08:00AM-5:30PM","9","0.5","08:00:59","12:30:00","13:00:00","17:30:59"
"M03","01:00AM - 10:30AM","9","0.5","01:00:59","05:30:00","06:00:00","10:30:59"
"M45","10:00PM-007:30AM","9","0.5","22:00:59","02:30:00","03:00:00","07:30:59"
"A39","07:00PM-04:30AM","9","0.5","19:00:59","23:30:00","00:00:01","04:30:59"
"M18","08:30AM-6:00PM","9","0.5","08:30:59","13:00:00","13:30:00","18:00:59"
"M06","02:30AM-12:00PM","9","0.5","02:30:59","07:00:00","07:30:00","12:00:59"
"M47","11:00PM-08:30AM","9","0.5","23:00:59","03:30:00","04:00:00","08:30:59"
"M48","11:30PM-09:00AM","9","0.5","23:30:59","04:00:00","04:30:00","09:00:59"
"M09","04:00AM-01:30PM","9","0.5","04:00:59","08:30:00","09:00:00","13:30:59"
"M19","09:00AM-06:30PM","9","0.5","09:00:59","13:30:00","14:00:00","18:30:59"
"M50","08:00AM-05:00PM","8","1","08:00:59","12:00:01","13:00:00","17:00:59"
"M20","09:30AM-07:00PM","9","0.5","09:30:59","14:00:00","14:30:00","19:00:59"
"RM1","12:00AM-08:00AM","8","0.5","00:00:00","04:30:00","05:00:00","08:00:00"
"M21","10:00AM-07:30PM","9","0.5","10:00:59","14:30:00","15:00:00","19:30:59"
"M22","10:30AM-08:00PM","9","0.5","10:30:59","15:00:00","15:30:00","20:00:59"
"M23","11:00AM-08:30PM","9","0.5","11:00:59","15:30:00","16:00:00","20:30:59"
"M24","11:30AM-09:00PM","9","0.5","11:30:59","16:00:00","16:30:00","21:00:59"
"M25","12:00PM-09:30PM","9","0.5","12:00:59","16:30:00","17:00:00","21:30:59"
"M27","01:00PM-10:30PM","9","0.5","13:00:59","17:30:00","18:00:00","22:30:59"
"M12","05:30AM-3:00PM","9","0.5","05:30:59","10:00:00","10:30:00","15:00:59"
"M26","12:30PM-10:00PM","9","0.5","12:30:59","17:00:00","17:30:00","22:00:59"
"M13","06:00AM-3:30PM","9","0.5","06:00:59","10:30:00","11:00:00","15:30:59"
"M14","06:30AM-4:00PM","9","0.5","06:30:59","11:00:00","11:30:00","16:00:59"
"S03","01:00AM - 10:30AM","9","0.5","01:00:59","05:30:00","06:00:00","10:30:59"
"M15","07:00AM-4:30PM","9","0.5","07:00:59","11:30:00","12:00:01","16:30:59"
"M16","07:30AM-5:00PM","9","0.5","07:30:59","12:00:01","12:30:00","17:00:59"
"R32","03:30PM-11:30PM","8","0.5","15:30:00","20:00:00","20:30:00","23:30:00"
"R31","03:00PM-11:00PM","8","0.5","15:00:00","19:30:00","20:00:00","23:00:00"
"M04","01:30AM - 11:00AM","9","0.5","01:30:59","06:00:00","06:30:00","11:00:59"
"M07","03:00AM-12:30PM","9","0.5","03:00:59","07:30:00","08:00:00","12:30:59"
"M10","04:30AM-02:00PM","9","0.5","04:30:59","09:00:00","09:30:00","14:00:59"
"M28","01:30PM-11:00PM","9","0.5","13:30:59","18:00:00","18:30:00","23:00:59"
"M29","02:00PM-11:30PM","9","0.5","14:00:59","18:30:00","19:00:00","23:30:59"
"M30","02:30PM-12:00AM","9","0.5","14:30:59","19:00:00","19:30:00","00:00:59"
"M31","03:00PM-12:30AM","9","0.5","15:00:59","19:30:00","20:00:00","00:30:59"
"M32","03:30PM-01:00AM","9","0.5","15:30:59","20:00:00","20:30:00","01:00:59"
"M33","04:00PM-01:30AM","9","0.5","16:00:59","20:30:00","21:00:00","01:30:59"
"M34","04:30PM-02:00AM","9","0.5","16:30:59","21:00:00","21:30:00","02:00:59"
